user_id,level,zone_id,team_id,sk_level,ax_k_level,ax_score_level,ax_percentage_score,fx_total,ax_score_total,total_score_level,total_score_team,created_at,ax_percentage_team_score
6971,1,4,3043,984,1,295.20000000000005,1,984,295.20000000000005,1279.2,23965.71449090876,2025-05-12 19:16:16.771970,0.8701958373474964
2359,1,4,576,1150,0.7,0,0.7,1150,0,1150,1150,2025-05-12 19:43:48.813730,0.7
7209,28,4,8391,2362,0.8088687782805429,257.14805429864253,0.7389883137199942,49594,3717.0279367443045,53311.02793674431,156329.1773695409,2025-05-14 16:09:46.394483,0.8059271982684562
5854,1,4,4865,1066,0.8,106.6000000000001,0.8,1066,106.6000000000001,1172.6000000000001,5639.550815850816,2025-05-12 19:13:03.126154,0.637519425019425
5854,2,4,4865,1566,0.8282467532467532,200.83441558441564,0.8141233766233766,2632,307.4344155844157,2939.4344155844155,8548.18523143523,2025-05-12 19:19:23.052512,0.8410502691752693
1884,1,4,4865,1050,1,315.00000000000006,1,1050,315.00000000000006,1365,3702.5,2025-05-12 19:16:46.914283,0.65
2449,4,4,2267,1832,0.7879545454545455,161.13272727272738,0.6849851496542673,6484,-32.260726724255875,6451.739273275744,20921.16203886355,2025-05-13 06:21:02.464274,0.7806376042863445
6366,1,4,4865,1059,0.8,105.90000000000009,0.8,1059,105.90000000000009,1164.9,27195.774766734918,2025-05-12 19:08:53.126197,0.8311533954696707
9976,2,4,7999,1650,0.752533606744133,86.68045112781961,0.7762668033720665,2658,187.48045112781972,2845.48045112782,102381.75077500215,2025-05-13 16:05:15.470928,0.8234690851066399
3356,31,3,9176,1825,0.7606586961425671,110.70212046018503,0.8197242665876839,54748,6290.1464738599525,61038.14647385995,191529.32435795042,2025-05-15 18:49:39.097836,0.8262393709195278
3166,34,3,5081,2608,0.965909090909091,693.4909090909096,0.9042804741930761,53430,10863.055616684938,64293.05561668494,386630.66531037993,2025-05-15 02:18:26.910009,0.8782163209995938
7907,6,4,4963,1291,0.7366666666666667,47.33666666666676,0.8180185527979645,7828,942.7066161616165,8770.706616161617,494890.4444646437,2025-05-14 10:41:02.142560,0.8265810521939065
957,5,4,5872,1532,0.9459954233409611,376.8649885583525,0.8995399350791518,7820,1472.0082733803679,9292.008273380368,15357.021249989966,2025-05-15 08:58:03.794112,0.82420358310746
3166,58,3,5081,1733,0.9891304347826086,501.06304347826085,0.8727090945868522,97641,17522.629605558323,115163.62960555832,590129.0160281811,2025-05-15 16:43:54.532712,0.8583754196283806
177,2,4,6746,2476,0.4592476489028213,-596.1028213166143,0.6296238244514107,4419,-401.8028213166141,4017.197178683386,8960.176665862873,2025-05-15 17:43:09.304588,0.7838062320820942
2324,56,3,9273,2000,0.952,504,0.8809024472470315,91172,14149.543144652904,105321.54314465291,456939.61193959607,2025-05-15 11:11:50.348582,0.8765452568802703
2942,10,4,2162,1485,0.8378342245989305,204.6838235294119,0.7431955530121116,20005,431.10138333716077,20436.10138333716,20436.10138333716,2025-05-13 18:14:06.695600,0.2477318510040372
804,9,4,7584,1590,0.8102941176470588,175.36764705882362,0.7988199917185915,15997,1588.029723328116,17585.029723328116,59753.901249569724,2025-05-13 18:02:10.070106,0.7926954872096696
